date,page,query,clicks,impressions,ctr,position
2026-09-01,https://pixeltec.mx/desarrollo-web-puerto-vallarta,desarrollo web puerto vallarta,12,400,3%,6.2
2026-09-02,https://pixeltec.mx/desarrollo-web-puerto-vallarta,desarrollo web puerto vallarta,10,300,3.3%,6.8
2026-09-03,https://pixeltec.mx/,pixeltec,80,200,40%,1.1
2026-09-03,https://pixeltec.mx/pixelbot,chatbot whatsapp para empresas,2,500,0.4%,2.5
2026-09-04,https://pixeltec.mx/blog/agente-de-ia-en-whatsapp-para-mi-negocio,agente de ia whatsapp,30,150,20%,2.0
2026-09-05,https://pixeltec.mx/automatizacion-guadalajara,automatizacion guadalajara,1,50,2%,9.0
2026-09-05,https://pixeltec.mx/industrias,software para clinicas,0,40,0%,18.0
2026-09-06,https://pixeltec.mx/industrias,software para hoteles,0,3,0%,22.0
2026-09-06,https://pixeltec.mx/services/automatizacion,automatizacion de procesos,5,120,4.2%,8.0
2026-09-06,https://pixeltec.mx/automatizacion-puerto-vallarta,automatizacion de procesos,1,90,1.1%,14.0
2026-09-07,https://encino.pixeltec.mx/,muebles encino,50,300,16%,1.0
2026-09-07,https://www.pixeltec.mx/contact,contacto pixeltec,3,20,15%,1.5
2026-09-08,https://pixeltec.mx/sistemas-a-medida,sistemas a medida,4,110,3.6%,12.0
2026-09-08,https://pixeltec.mx/sistemas-a-medida,sistema a la medida,0,8,0%,25.0
2026-08-01,https://pixeltec.mx/desarrollo-web-puerto-vallarta,desarrollo web puerto vallarta,5,200,2.5%,8.0
2026-08-02,https://pixeltec.mx/pixelbot,chatbot whatsapp para empresas,4,450,0.9%,3.0
2026-08-03,https://pixeltec.mx/,pixeltec,70,180,39%,1.0
2026-08-05,https://pixeltec.mx/services/automatizacion,automatizacion de procesos,3,100,3%,9.0
2026-08-06,https://pixeltec.mx/blog/agente-de-ia-en-whatsapp-para-mi-negocio,agente de ia whatsapp,20,120,16.6%,2.4
2026-08-10,https://pixeltec.mx/automatizacion-guadalajara,automatizacion guadalajara,0,30,0%,11.0
2026-07-01,https://pixeltec.mx/,pixeltec,60,150,40%,1.0
2026-09-13,https://pixeltec.mx/,pixeltec,10,30,33%,1.0
